text,region
Maybe he belongs in Israeli government then? Anywhere but here.,new york
when is the first wvu basketball on t.v can u tell me,pittsburgh
I love seeing all the posts of kids dressed up in costumes😍😂,oklahoma city
"Who is that American Born Grappler?  I'd like to take that boy Shake him around a few times, Karate Chop him, and finish him off with a Dropkick... Bam!",los angeles
This is the type of idiocy the left pushes.  ,los angeles
Tryna do some spooky shit tonight,houston
"While you complain, my team learning the game 🤭",chicago
So this guy asked me if he could give his friend my number. I told his ass hell no....about a week later the friend messaging me on IG “what’s your number” 😐 BOY IF YOU DONT GET CHO ASS TF ON 🗣🗣,pittsburgh
That’s the fundamental rights of American citizens born in this country,minneapolis
Please make sure it is prosecuted as a hate crime and not a misdemeanor.,new york
", Thank you for the Billy Joel channel.  Relived so many memories tied to every song! #makeitpermanent",nashville
"And Trump at War has only been watched 20,000 times on YouTube. Not exactly Clinton Cash levels (though it doesn’t have Breitbart promoting it) ",san francisco
America the beautiful turning ugly. America’s just a land. It’s the people and the leader who makes it what it is.,washington
💀💀Kelsey you didn’t have to go that hard ,charlotte
so this dude pulled up in his lil car will Halloween decorations with his lil clown mask but backs back out slows down pulls off slowly &amp; starred me in my soul &amp; we just going at it like this .. ,nashville
yerrro s/o all my mf’ cuzzos man 🍾✨,new york
"You don't put an ""lol"" or ""lmao"" in ya statement and people think you being serious. Y'all so pussy",nashville
That shit a fancy flea market lol,houston
Getting ones #nailsdone naturally. @ Lion Country Safari ,tampa
Synchronicity you wouldn't believe if i told you,seattle
ANYWAYS :) i planned 2 cross countries and i’m very excited to fly them,chicago
The hoe that you loving is garbage,san francisco
"#WednesdayWisdom With  controlling every branch of govt, you'd think they could pass a rational immigration bill, with DACA consideration, etc. But they can't &amp; won't. Because 'rationality' is not part of it, when they can whip up racial fear &amp; hatred. VOTE.",tampa
"When you're out and the server asks you: ""What will you have to drink?""

""Water.""

Not ""just water...""  No need to downplay your choice.

It's not ""just water."" 

Water is the most hydrating, detoxifying drink on the planet.

It's hard to get too much of it. ",los angeles
“You’re never too old to be young.” ~ #SnowWhite 🍎😉 #HappyHalloween ,denver
God is faithful,los angeles
Very rarely do I comment about political things. This is sick. What is wrong with him? #racist #stophating #itgoesbothways Racist Don Lemon Calls for a White Guy ban  via,minneapolis
Honestly there aren’t too many feelings better then a fresh pair of socks,los angeles
All I want this #Halloween is for  to officially tell me what they think of Kingsley. #goodboy ,charlotte
Darn...Beat me too.,washington
"I got my first set of OFFICIAL Business cards today. Passing them joints out to everyone. 
Stranger “Hi, how do you get to...?” 
Me: girl follow me, but here take me card.",new york
😂 it’s going to feel good to do it the right way,charlotte
Healthy food too?,denver
I loved when he and Jon teamed up.  They seemed cut from the same cloth.  Jon deserves someone so loyal and Davos deserves someone noble to be loyal to.,chicago
"Thanks to all my clients for your referrals! Who do you know that is looking to buy or sell? @ Gilbert, Arizona ",phoenix
"Practicing razor cutting techniques learned from  &amp;  for some shag/texture action
.
#rainyday #Hairstylist #alwayslearn @ Ulta Beauty ",oklahoma city
We watching it this weekend then,charlotte
Love you sis ❤️,houston
Accident in #Irondequoit on Empire Blvd Both EB/WB at Hwy 590 #traffic ,toronto
I CANT stand those lame ass Honda’s that have a loud ass exhaust. Honestly the worst pieces of shits anyone can own,los angeles
"You just need an assistant, and I’m just the man for the job 😳",cincinnati
ever think about people who think they will have guaranteed success if they just go to school or just do x task?,new york
Happy annual 'Dress up as Dr Peter Venkman Day'! Let's show this prehistoric bitch how we do things downtown..throw it!!!! #whoyougonnacall #ghosthead #protonpack #ghostbusters… ,seattle
Ass eating is proof that technology has gone too far.,oklahoma city
#HappyHalloween from Nick and Plato! Stop by Campus Ministry today for some candy! ,pittsburgh
THIS is a healthy lunch!!! ,new york
"Sweet Potato Pound Cakes with Spiced Cider Glaze from Chef Kim at  #CollegeChefs #CoolFood #SweetPotatoChallenge
.
.
.
#sweetpotato #sweetpotatoes #Potatoes #sorority #fraternity #chef #souschef #Chefs #sunglasses #collegefood #Chefjob #foodie #Foodchallenge ",chicago
Fire Safety Day!!! #Maywoodpride #maywoodvolunteerfiredept ,kansas city
. he’s a pig ... sorry if this is lacking in ‘civility’ but he is just a self-absorbed pig 🐷,tampa
"18 wheeler accident. two right lanes blocked in #Dallas on 20 EB at Mtn Crk Pky, stop and go traffic back to Carrier Pky, delay of 6 mins",oklahoma city
"If you're looking for work in #Boston, MA, check out this #job:  #Sales #Beantown #TheHub #Hiring",new york
Pitt adds a #PittsburghStrong tribute to the victims of last weekend's shooting along bottom of their helmets. #dkps #pitt ,pittsburgh
You looked good out there ! Way to get the W!,san francisco
Anybody tryna pick up my body from Pet smart??? I don’t think me and lia will get off work in time lol and my parents are gonna be at churchhhh,washington
Happy Halloween 🎃,los angeles
Tana just said I have a bird chest. That shit hurted.,nashville
It really be your own niggas,houston
By the guitar with the dove. There are piano keys on each side of guitar,oklahoma city
give this guy the humor award! Thanks for the laugh! ,denver
I love you!😭💕,houston
JINNOTHY i’m losing IT,new york
Tell a girl not to fall in love and that’s the first thing she does,albuquerque
"The disrespect for the old time yankees is wild... my guys won chips, went to go fight Hitler and came back to win more chips.. fuck outta here",new york
"I'm giving out note cards that say ""tell your parents to vote"" instead of candy to trick or treaters.",phoenix
"We know what Peters can do. I hope he gets back to his A game sooner than later. As for Hill, that's a different story.🤷‍♂️ The blitz put a lot of pressure on Goff and made him rush his throws. Bad throws. Saints are going to use everything that worked against us.",los angeles
"Stating facts....  In the last two years, White Males have killed more people in the United States than illegal immigrants or ISIS ... combined.",charlotte
"When yew start feelin yaself and playing round tew much and it cost ya the easy open bucket 🤣💀🏀
#ballislife #basketballismyfavoritecardio #mullymanworkoutplan #basketball #bball #espn… ",nashville
"I urge everyone disheartened by the events of the past weeks and past years to please read and share this open letter written by an NYU student and Columnist for the Washington Square News addressed to the 2020 Democratic Presidential Nominee. 
",new york
Come get your Halloween tattoos today with coledavid and brook_backmountain!! I am working the desk 🎃 happy Halloween!!! @ Monkey Bones Tattoos ,cincinnati
"The Starbucks barista took one look at me, giggled, and after I gave my order stopped me with a, “i know who this order is for” and a 😉 ",los angeles
I’m blinded by the white!,houston
"*computer has 10% left*
Me: I should probably do my homework that’s due today.

Also me: *uses the last 10% to shop online*

Also me: *has no money to buy anything*

Also me: *has a B in the class and still doesn’t do homework*",nashville
"It'd be weirder if I *didn't* eat the rest of this pumpkin pie alone for lunch, OK?",new york
Oh and happy Halloween everyone! #JAGGabHI ,new york
"Remember not to stay up too late tonight because every time you yawn, a ghost face fucks you.",houston
"we get extra credit if we dress up for class today, welcome to college",montreal
DO YOU EVER JUST FEEL LIKE EXPLODING???,chicago
"yes we can hangout 2night 
no i will not drink with anybody or u
send tweet",minneapolis
"Cg strong- all day long. shoesonthemoon_fit was pretty impressive today- demo’ing in this get up! #campgladiatorbouldercounty @ Boulder, Colorado ",denver
"Congrats to this Advanced Makeup Certified Graduate!!!! Sky is the limit...Good Luck on one of the best Journeys of your Life🎉🎉🎉🎉
.
.
.
.
Next Advanced Makeup Class starts Jan 8… ",new york
spending my free time surprising my little babies.. i love this. plus chris but he’s a turd and was extremely embarrassed:’) ,chicago
Was he even allowed to go inside the shul while the services were going on?,albuquerque
"You should plan on going there next year , so when we all go to Boston you can’t ruin it .",cincinnati
Thursday-Saturday #UCAHOMECOMING2K18 the place to be! Thank me later,oklahoma city
"If you’re looking to change behaviors around enterprise social tech use, look closer at changing habits, especially those of managers.  #ESN #socialbusiness #orgdesign",toronto
"my face red, my mf ears cold, IM SOAKIN WET",oklahoma city
"My friend used to call Trader Joe’s, “comfort food for white people.”",seattle
We had a “wheel-y” good time at our Quarter 1 PBIS celebration! #FieldStevensonSharks #SharkExperience #D91Celebrates ,chicago
had one wish for his birthday...a big  selfie! #WishGranted #HappyBirthday ,oklahoma city
I'm sorry. Depression suck. I have it too.,seattle
didn’t even bring his team to the playoffs lmfao,tampa
Thankful for my bffs ❤️❤️ ,cincinnati
Scenes from yesterday's #greenbelt adventure. Getting out in nature &amp; away from the noise (both sound &amp; energetic) is essential for me. All of us really. No matter how connected we are to… ,houston
He can’t read,los angeles
Because he gets away with it.,san francisco
This is gonna be some Helm's Deep heroics down in the 🍊💩 ,phoenix
We ARE goingggggggg,houston
"La miki minach, whatever you do, don’t respond to Mariah or Steff. They are not worthy of recognition! Let those hoes feen and dry up. Thank you. ",los angeles
"Coffee break. (@ Love's Travel Stop in Wamsutter, WY) ",billings
I enjoy seeing the 40s Baby Boomers driving electric cars. They have seen 7 decades of change. ,los angeles
What a sick disgusting bunch they are at CNN!! A total joke! THEY were the ones who kissed Clinton's ass agreeing on election nite that TRUMP WLD NEVER EVER WIN. LAUGHIN AT TRUMP ALL NITE! WHEN TRUMP WON they STOPPED laughing &amp; LOST THEIR MINDS COMPLETELY &amp; STARTED HATIN ON U.S.!,seattle
Are you the trump administration official cheerleader?,washington
My two favorite things are lemon flavored markers and bags of lizards,nashville
Y’all Kaison got this costume on again,nashville
"Die from laughter, die from fright...come dine with us this Halloween night! 😈

*chef only cooks with the finest of iocane powder 😉 @ Cafe Nordo ",seattle
*submitted for review sans comment* ,seattle
"Omg my professor just said it, ",washington
The latter. I don’t send you out into the world to entertain these hoes. So they can later say you’re out here entertaining them. 🙄,cincinnati
"I only criticized a promo. Didn’t remind me of the promo for The Godfather exactly. Get the drift, sleepy?",tampa
Vote red because better red than dead .,denver
The audacity of this mf to ask me if I was cooking breakfast this morning 🙄😂 like mf just get ready to trick or treat wit ur daughter and lemme lone 🙄😂😂😂,tampa
"I didn’t tweet the entire show but I loved it. Costume changes, great impressions, and that sweet dance number that  pulled off was impressive! Happy Halloween",albuquerque
So far I got the gruesome hair style ,pittsburgh
"Swerves into the bike lane, drives half a block in the bike lane, gives me the finger, drops off his passenger, then screams at me. Your angry drivers are going to hurt somebody soon, and get you sued. #DoSomething #SanFrancisco    ",san francisco
"I'm at  Planta in Hermosillo, Sonora ",phoenix
any chance I can get a ticket for tonight big fan,denver
"Living room view, autumn 2018 ",new york
Highly fucking disagree! Where’s James Conner???😤🤨🧐,los angeles
"What? You don't consider the war zone rates of shootings in the Inner Cities to be actual acts of violence? I get it... if it is a minority being murdered, you're comfortable with that.",los angeles
Are you sure.... then that would be Exactly like all of the Police Killers that were inspired by  and,washington
Not a Hillary fan but she’s accomplished more then you could ever dream of. You and your messiah are destroying this country with all of your lies and hate mongering.,montreal
"Great feedback during Tuesday’s community meeting on the future of the Mt. Ida Dam. We remain committed to protecting #TroyNY residents, businesses &amp; the public while engaging the public… ",new york
"Happy Halloween 🎃,  from My Family to yours !! Enjoy &amp; Be Safe !
#halloweenmemories #trickortreat #bestofbergen #dianecooksonrealtor #besafe @ Diane Cookson, Broker Associate ",new york
"🍃 #HBCannU 🍃
#BlackinCannabis
#CannabisLiteracy
🍃🍃✊🏾✊🏾🍃🍃
••
Today is officially the last day of Black In Cannabis &amp; HBCannU #BreastCancerAwarenessMonth‼️
#BreastCancer is the most commonly… ",nashville
"Without the dark, we'd never see the stars.",washington
They sure do....and it’s wearing a fake tan and weighs 290!! Midterms equals impeachment for a lying racist named Trump!,los angeles
Our Territory Director Todd Hassell at the SIAA convention in Arizona. @ Mesa Convention Center ,phoenix
Category is… Leather Titleholder Fashion Realness #werk #mrsanctuaryleather2018 #titleholder #leatherjacket #sash #fabolous @ American Honda Motor Company ,los angeles
On the bus &amp; I just saw a guy I dated in my teens. And he is still good looking!! Lord have MERCY! 👀,new york
Well are you?? 🤣🤣🤣🤣,cincinnati
Watching  routinely clock T*mi L*hren is so deeply satisfying.,chicago
You are such a liar!   Your administration is in court right now trying to rid of pre existing conditions!   How do you sleep at night?   You are such a scumbag!,chicago
"Early voting, FTW! 🗳 #Vote #earlyvote #Chicago #Illinois #IllinoisVote ",chicago
My smile be savin’ me 😅 ,oklahoma city
*be called out!,pittsburgh
Happy Halloween 🎃 🎶 boo to you! ,houston
THIS IS NOT A DRILL I REPEAT ITS NOT A DRILL BLOCBOY DROPPED DONT SAY THAT!!!!,los angeles
I feel like death :( 💔,albuquerque
"#HappyHalloween Cardinals

Stay spooky 🎃👻🕸 ",toronto
"I don't wanna pIay it safe. 

No. 

I just wanna break every rule like criminals. Savage individuals",houston
"(I know, but I’m trying to shoehorn the 🐐 into that tweet)",montreal
I focus on everything except what I need to. Giving energy to situations and people gotta stop. 🤦🏾‍♂️,charlotte
"The Trump debt up 300% since he took office, Deficits out of control, wages down, America needs to stop this moron President now orvwe all will be speaking Chinese because China will own USA",washington
"Ready, set, bro. 😜 #fratboy ",kansas city
"Time Fades Away might be my favorite live Neil, which feels crazy since it isn’t Crazy Horse. But “don’t be denied,” cmon.",charlotte
"Knocking out those flash cards in U.S. Government, today. ",oklahoma city
Come on  aren’t you bangin a white guy “come on man”,charlotte
Vince staples is hilarious,new york
Why niggas find girls in relationships more ATTRACTIVE THAN SINGLE GIRLS ! On my mommy it’s true ,tampa
If you wanna fuck with me I want everything fendi Louis gucci I want everything,houston
This lady at my job made something labeled as “macaroni &amp; cheese” for the Halloween potluck and just know...I’m pissed.,washington
"If you're looking for work in #Orlando, Florida, check out this #job:  #BusinessMgmt #Hiring",tampa
You seem like more of beer guy ,tampa
Rain all day = Game all day 😂😂,pittsburgh
Halloween’s 2016 &amp; 2017. cant wait for tonight! ,san francisco
"3 Acre Estate For Sale. Over 4200 sq.ft. 5BR/2.5BA, Quality, fortified, construction throughout. @ Daphne, Alabama ",tampa
Wow! Amazing job!!,los angeles
I know all this information is gross I’m just trying to give honest advice...I never get sick… Like bedridden sick,tampa
any word on when the new iPad will go up for pre-sale through ATT?,nashville
"Can you recommend anyone for this #job? Kindergarten Teacher - Union Preparatory Academy at Indian Trail -  #GreatnessStartsHere #Education #IndianTrail, NC #Hiring",charlotte
Thank you 🙏🏼,tampa
I’m wearing my elephant onesie today. Bite me.,cincinnati
"Thanks Scott-really appreciate this, and the support this season.",kansas city
Important email from  about District 6 Supervisor election race. Vote each day at SF CITY HALL or on November 6 at local polling place. 🤔 ,san francisco
Thank you God for all of your blessings and for allowing me to wake up today🙏🏾‼️,nashville
"Thanks guys, its crazy knowing how many people have watched this 😎👍",tampa
Almost 50 &amp; I will by it if it’s Associated with   I Love Pantene anyway but this would make it a lot better. #WasteItOnMe,tampa
Haha thanks 😊,tampa
Today is further evidence that we live in a Kafkaesque hell hole where entropy reigns. #worktweet,houston
Go back to Moscow commie,cincinnati
Happy Halloween 🎃,los angeles
Shout out da niggas from Dat street life,tampa
Fredo Coumo’s look is hilarious.,tampa
Dont do it # ,minneapolis
"Psalm 119:Nun
•
The Word, the truth, of God is lamp to my feet, a light for where I’m walking. His Word brings joy to my heart. 
•
Amen. Thank You for Your Word, Lord. @ Red Horn Coffee… ",houston
I’m throwing a party ! I want you down here,nashville
EPA Shuts Down Local Ghost-Entrapment Business  #Ghostbusters,minneapolis
I just wanna watch classic scary movies tonight,oklahoma city
"Gigantic ham hocks 
How many are left in the world
Maybe 1 million or 22
The answer only lies
At the pork village to the west",pittsburgh
seeing multiple world series teams in my lifetime&gt;&gt;,nashville
"Snickers &amp; popcorn balls, if home made.",oklahoma city
I’ve been looking at houses to buy all morning and omg so many options,oklahoma city
"I don’t care how badly I sob like a baby, I will watch every single military homecoming video that I come across",charlotte
A little 🌧 never hurt anybody! Let’s get that W tonight  #FCDvPOR #MLSCupPlayoffs,oklahoma city
The Krispy Kreme on Ponce,nashville
I love all this but what about the national debt?,toronto
Not today Satan,tampa
Republican majority is not happening,washington
"The Haunting of Hill House is now a Netflix show.
 ",san francisco
It’s a lil chilly,los angeles
I meaaaaaan 💕💕💕 ,new york
"I'm in the running to win a year of candy from , and a 4 night stay in Jamaica from  and . #DCBMysteryBar ",pittsburgh
"Don’t forget to grab your shirt, only 6 days till the first men’s game!!🐯🐯 ",kansas city
"Folks say it with me:

BLACKFACE IS NEVER OKAY.",new york
"We had an AMAZING EXPERIENCE harvesting apples with  !!! Thanks to our  folks and  🍏
🍎 🍏
🍎
#extrashotofgood #haveahartday #hahd #cityfruit #harvest… ",seattle
"Andy Reid on John Dorsey: ""You just watch how things get turned around there.""",houston
Someone should dress up as the new MacBook Pro keyboard.,san francisco
It’s been fun watching you wave your ignorance flag but now you’re just repeating yourself which is to be expected and earns you the block you want so bad.,charlotte
Done did eet! ,kansas city
This made me laugh out loud 😂,los angeles
Tired of being sad lol,san francisco
I’m 25 w/ no kids and a boyfriend and can’t seem to keep my kitchen clean EVER and seem to be doing laundry every day and I’m going CRAZY.,new york
we are flying out pretty soon. appreciate the thought!,tampa
DOMINICANS KILL ME BRO LMAOOO 😂 ,washington
I revealed my weakest language to Amina Cheema.,new york
"So blessed to be “part of her world” #HappyHalloween
#daddysprincess #Ariel #LittleMermaid ",nashville
Especially if she’s gonna be influencing my younger brothers w her patriarchal viewpoints like ugh that’s not cool???,seattle
"I wanna play #RedDeadRedemption2 SO BADLY but I'm too cheap/poor to spring for a PS4 or a Xbox One 😭😭😭

Okay, no going out for a few weeks to save up.",houston
"By the way 
HAPPY HALLOWEEN!!!! ",cincinnati
"HALLOWEEN PARTY TONIGHT 🎃
HOUSTON TEXAS 🤘
FT: K $UPREME 
At  📍
Presented By:   ✊
ALL AGES
Tickets:  🎫 ",houston
You’re gunna kill it no worries!,minneapolis
Is it just me or do yeezy look like thanos got dam chin ,los angeles
BIG FAN 💫,los angeles
Sounds about right,minneapolis
spending halloween with my doctor how spooky 🤪🤪,new york
"let's not forget the many Russian women who came to the USA to give birth and stayed at a trump hotel.   just saying. re your last sentence i would add ""white"" before the trashing and change the trashing to trash.",charlotte
Good lord. Jlo might b my new screen saver,los angeles
"When it comes to a decision between framing and giving a visual of an outfit, I choose the former! Pretty cool that Larry is a #SaveTheCrew guy though 👍",pittsburgh
My man focusing all his arrogant energy towards the nba since football and baseball took a nice L for the bay all around,san francisco
Halloween is the only holiday when I wish I went to a PWI.,charlotte
"#happybirthdayChefJoe at  #vegas #offthestip #bestchef we love Joe @ Las Vegas, Nevada ",las vegas
I am realizing why he smokes. Too bad she didnt smoke with him. She could be home stoned and enjoying life. Now she has to worry about being someone's bitch instead of just being a bitch!,tampa
Quick shout out to the parkway north soccer team. Lost an absolute heartbreaker last night. Gave it all they had all season with a light / young roster. It was a honor coaching them.,kansas city
Rey's estranged wife is coming.,nashville
"My late Grandfather William Blake Kent Jr. #rip #grandfather @ London, Ontario ",toronto
Good OG in the air,oklahoma city
"you’re invited! we’re hosting a pity party! 

who: anyone
what: everyone has to sit and watch me cry
when: every night from 7pm-11pm
where: middle of I-10
why: need attention",houston
"I mean, fair",albuquerque
Afternoon y’all. Happy Halloween 🎃,oklahoma city
Thank you so much! 🙌🏼,montreal
"I be wanting to post my nudes so bad because I be looking tf goodt, but I gotta remember that nudity is considered obscene still n my boyfriend would get mad 😩😩",chicago
Cutting the spookiest song on the record on Halloween. Did we plan it that way? No. But it’s just some of the magic seeping into the studio. ginapicks5 wrote some damn good ones.… ,charlotte
How wacked out are these people.  Discusting.,montreal
all the cute babies on halloween i can’t take it 😭😭,houston
I didn’t see any brave souls in the pool this early 🤣,las vegas
Halloween at the office. ,new york
Hey  you changed the game with the Dad Fit Jean can we please get more styles 👖,calgary
I was drunk drunk last night. 🙃,los angeles
"October 31st is the end of the first annual Lach-Tober-Fest 👻 Photos for everyone who participated will be coming to you on all platforms soon! 📸
.
Thanks to this years sponsors: kat.dowen… ",denver
"A 1.5 magnitude earthquake occurred 2.49mi SE of Home Gardens, CA. Details:  Map: ",san francisco
Oh my bad 😹😹,charlotte
so this is how today is going to be???,minneapolis
#Carpool #Gilroy -&gt; #LosBanos rideshare #sharemusic ,san francisco
Useless pieces of information in my brain: A thread,chicago
Can we move away together,new york
I’ve been standing here waiting for you to leave for 15 minutes. GOOOOOOO.,cincinnati
Please be mine,tampa
"Spooky Ronnie Day, happy #halloween",san francisco
We got 10 in already come down and get in line and get a rad tattoo here at either shop East or West!! @ Red Baron Ink West ,new york
Dear Lord Almighty 🇺🇸⚔️🇺🇸♥️✝️✡️♥️,minneapolis
Prooooobably need to throw a dinner party soon ,san francisco
Stiff on a lot of shit nowadays,washington
He went to my highschool 😂😂🤣,tampa
"Social D...  NESS! @ Huntington Beach, California ",los angeles
"#Carpool #Bakersfield -&gt; #WestHollywood I am living in Bakersfield and need to commute daily to work in  Los Ángeles, Ca  #splitcosts #sharecoffee #sharemusic ",los angeles
"1.5 magnitude #earthquake. 4 km from ##HomeGardens, CA, United States ",san francisco
just tryna be spoooooky withhhh someone today/night,seattle
too? Heard you,tampa
ASK ME IF IM EXCITED YO OMG ,charlotte
"I'm milking the sacred beard nectar then ceremoniously burning a fat bowl. While murmuring the epic poem from our lord and savor our beard king The All Follicle Gandolf Storm Caller. Or ""GRAY"" as we in the #WhiteCircle call! Learn more soon....till then ",seattle
"Thank you for your recounting from the front, battle-weary embedded journalist.",kansas city
"After celebrating Halloween for 72 days, I can finally say Happy Halloween! ",tampa
man she gone act like a child all day 🙄,nashville
Trick or Tequila,cincinnati
"Halloween stores should all just claim to be venues for a super secret last minute  concert tonight, charge admission at the door, and once you’re inside it’s just one of those Skeleton props with Bloom playing in the background",los angeles
"Happy Halloween! 🎃 All costumes receive a 50% off U-swirl coupon good for your next visit! Stay dry with us- we’re setting the mood with Halloween music, the lights down low, and of course, all sorts of yummy treats! 🖤🧡👻 #waco #halloween #halloweencostume ",houston
"Want to work at Booz Allen? We're #hiring in #FortMeade, MD! Click for details:  #BoozAllen #OpenSource #Veterans #CareerArc",washington
I have no idea! We just got a new smart tv and it’s on TVPlus - maybe that’s how?,cincinnati
"Thanks Stacey and Jenna at White Sheet for hooking me up with a business profile spread in next weeks White Sheet! LHC Locals, If you bring in the article, I'll sign it and… ",las vegas
"I have ProPresenter 6, Version 6.3.7. Is this compatible with the new Mac Mojave? I am currently running High Sierra, Version 10.13.6. Please advise and thank you.",cincinnati
A nigga just got fired for arguing with the boss of the whole plant 😂😂😂 we all just got a 5 dollar raise niggas GOOFY,nashville
DOES ANYBODY HAVE A SILVER METALLIC DRESS OR ANYTHING THAT RESEMBLES TIN FOIL.,chicago
Werewolf of Hopkins...his hair was perfect.  Easy on the rogaine ,montreal
"at school .,, but cant get out of my car .,,.",los angeles
Good Afternoon! Been traveling this morning! ,tampa
It really be your own dudes,houston
#Carpool #LosBanos -&gt; #SanJose rideshare ,san francisco
I've said that for years and it's impossible to keep repeating myself in every random tweet especially with limited characters. Also worth noting USSF has not done much to facilitate growth at the lower division level. My tweet was analysis not an ideological comment.,tampa
I FEEL LIKE RICKY WHEN IM IN THIS MAYBACH,los angeles
are you okay,phoenix
"After showing up at MM Royal Weeding alone, all she wanted to be and care about is being a bride to be. Frankly she can care about nothing else, it makes her feel better that’s all.",tampa
Or Facebook and twitter who influence the election by censoring and blocking  conservatives.,kansas city
Just Gotta Keep It Movin,washington
me couldn’t dm you though,charlotte
"Aww babygirl really was crying 🔥🔥🔥🔥 juSt TOUCH DOWN IN #DC ITS CONCERT WEEK!!!! This Friday come see me live w/  &amp; ykosiris at the orbitroom TICKETS ARE IN MY BIO!!! @ Washington,… ",washington
They can’t stay on the dole forever. China is already getting trade deals abroad.,denver
Haha get? BOOmin’? 👻 Shoutout to  for a fun time painting pumpkins today! ,oklahoma city
Soylent green is people!,houston
Almost  it all in. Few more loads out @ Mingo Central High School ,washington
"i think this is my fav piece of advice, ever",new york
"This #job might be a great fit for you: Administrative Associate -  #MileHighCity #Denver, CO #Hiring #CareerArc",denver
"Name a better duo? John Henry &amp; French Fries!

Growing up I loved John Henry and now his story means even more to me as an adult. Check out the Disney short about him on… ",chicago
Many thanks. And to you and your fortunate children as well. Theirs will be a better life than ours.,chicago
laying my edges is a very important part of my daily routine,charlotte
"See our latest #Sanford, NC #job and click to apply: Direct Support Professional - Residential -  #DirectCare #Operations #Hiring #CareerArc",charlotte
Life of fame,new york
Yea bro my bad I wanted to pull up n act out smh I’m sick,washington
